Wall time,Step,Value
1638469040.31577,1,0.18664062023162842
1638469167.302721,2,0.2861458361148834
1638469311.982311,3,0.4497135281562805
1638469441.16797,4,0.5981770753860474
1638469570.049249,5,0.6682812571525574
