Wall time,Step,Value
1638465494.221964,1,0.12763020396232605
1638465797.779008,2,0.1432291716337204
1638466101.643274,3,0.22723957896232605
1638466407.259254,4,0.2675260305404663
1638466712.763536,5,0.29945313930511475
