Wall time,Step,Value
1638467153.623445,1,0.03674479201436043
1638467593.865431,2,0.03382812440395355
1638468031.952742,3,0.032369792461395264
1638468468.23432,4,0.03421875089406967
1638468908.801737,5,0.031822916120290756
